"We use cookies!","我们使用 Cookie！"
"Hi, this website uses essential cookies to ensure its proper operation and tracking cookies to understand how you interact with it. The latter will be set only after consent. <button type=""button"" data-cc=""c-settings"" class=""cc-link"">Let me choose</button>","嗨，本网站使用基本 Cookie 以确保其正常运作，并使用跟踪 Cookie 以了解您与之互动的方式。后者只会在您同意后设置。 <button type=""button"" data-cc=""c-settings"" class=""cc-link"">让我选择</button>"
"Accept all","全部接受"
"Reject all","全部拒绝"
"Cookie preferences","Cookie 首选项"
"Save settings","保存设置"
"Cookie usage 📢","Cookie 使用 📢"
"I use cookies to ensure the basic functionalities of the website and to enhance your online experience. You can choose for each category to opt-in/out whenever you want. For more details relative to cookies and other sensitive data, please read the full <a href=""#"" class=""cc-link"">privacy policy</a>.","我使用 Cookie 来确保网站的基本功能，并提升您的在线体验。您可以随时选择是否启用/禁用每个类别。有关 Cookie 和其他敏感数据的更多详细信息，请阅读完整的<a href=""#"" class=""cc-link"">隐私政策</a>。"
"Strictly necessary cookies","严格必要的 Cookie"
"These cookies are essential for the proper functioning of my website. Without these cookies, the website would not work properly.","这些 Cookie 对于网站的正常运作至关重要。没有这些 Cookie，网站将无法正常工作。"
"Performance and Analytics cookies","性能和分析 Cookie"
"These cookies allow the website to remember the choices you have made in the past (such as your username, language, or the region you are in) and provide enhanced, more personal features. They may also be used to provide services you have requested such as watching a video or commenting on a blog. The information these cookies collect may be anonymized and they cannot track your browsing activity on other websites.","这些 Cookie 允许网站记住您过去所做的选择（例如您的用户名、语言或所在地区），并提供增强的、更个性化的功能。它们还可用于提供您所请求的服务，如观看视频或在博客上发表评论。这些 Cookie 收集的信息可能已进行匿名处理，不能用于跟踪您在其他网站上的浏览活动。"
"Advertisement and Targeting cookies","广告和定向 Cookie"
"These cookies collect information about how you use the website, which pages you visited and which links you clicked on. All of the data is anonymized and cannot be used to identify you.","这些 Cookie 收集有关您如何使用网站、访问哪些页面以及点击了哪些链接的信息。所有数据都已匿名处理，不能用于识别您。"
"For any queries in relation to our policy on cookies and your choices, please <a class=""cc-link"" href=""/contact"">contact us</a>.","有关我们的 Cookie 政策和您的选择的任何查询，请<a class=""cc-link"" href=""/contact"">联系我们</a>。"
"Used to distinguish users.","用于区分用户。"
"Domain","域名"
"Expiration","到期"
"2 years","2 年"
"1 day","1 天"
